ADANI GREEN ENERGY LIMITED — Project Master Tracker,,,,,,,,,,,,,,,,,,,,,
Project ID,Project Name,Project Type,Location,State,Capacity (MW),FY Year,Category,Budget Allocated (? Cr),Budget Used (? Cr),Budget Remaining (? Cr),Revenue Generated (? Cr),Scheduled Comm. Date,Expected Comm. Date,Actual Comm. Date,Contractor Name,Material (Module/Turbine),Material Status,Contractor Payment Status,Project Completion (%),Delay (Days),Remarks
AGEL-S-018,Fatehgarh Solar Park – 500MW,Solar,Fatehgarh,Rajasthan,500,FY2021-22,Commissioned,"2,299.85","2,285.73",14.12,515.89,27-May-2022,—,25-Jul-2022,Sterling and Wilson Pvt Ltd,First Solar (440W Series 6),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-019,Tumkur Solar Phase 1 – 50MW,Solar,Tumkur,Karnataka,50,FY2021-22,Commissioned,248.51,245.82,2.69,67.16,10-Feb-2023,—,13-Apr-2023,Goldi Solar Pvt Ltd,Waaree Energies (550W Mono PERC),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-020,Chitradurga Solar Park – 400MW,Solar,Chitradurga,Karnataka,400,FY2022-23,Commissioned,"2,125.82","2,079.99",45.83,549.18,15-Jun-2022,—,08-Aug-2022,L&T Construction,Trina Solar (550W Vertex),Fully Delivered,75% Paid – Balance on Completion,100%,0,On track
AGEL-S-021,Pokhran Solar Park – 250MW,Solar,Pokhran,Rajasthan,250,FY2021-22,Commissioned,"1,072.87","1,037.18",35.69,247.07,26-Mar-2021,—,05-May-2021,Sterling and Wilson Pvt Ltd,First Solar (440W Series 6),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-022,Jodhpur Solar Phase 1 – 100MW,Solar,Jodhpur,Rajasthan,100,FY2023-24,Commissioned,557.89,531.28,26.61,152.95,23-Feb-2021,—,20-May-2021,Genus Power Infrastructures,REC Group (405W Alpha Pure-R),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-023,Mundra Solar Phase 2 – 50MW,Solar,Mundra,Gujarat,50,FY2023-24,Commissioned,284.78,266.65,18.13,71.66,28-Oct-2023,—,07-Dec-2023,Waaree Energies Ltd,Canadian Solar (550W HiKu7),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-024,Patan Solar Phase 2 – 150MW,Solar,Patan,Gujarat,150,FY2022-23,Commissioned,632.24,613.08,19.16,149.40,01-Oct-2022,—,10-Oct-2022,Tata Projects Ltd,First Solar (440W Series 6),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-025,Osmanabad Solar Phase 1 – 200MW,Solar,Osmanabad,Maharashtra,200,FY2022-23,Commissioned,958.25,893.68,64.57,252.38,20-Apr-2021,—,21-May-2021,Genus Power Infrastructures,First Solar (440W Series 6),Fully Delivered,75% Paid – Balance on Completion,100%,0,On track
AGEL-S-026,Morbi Solar Phase 3 – 50MW,Solar,Morbi,Gujarat,50,FY2022-23,Commissioned,231.16,229.12,2.04,58.77,15-Jul-2021,—,01-Aug-2021,Waaree Energies Ltd,LONGi Solar (555W Hi-MO6),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-027,Anantapur Solar Phase 1 – 200MW,Solar,Anantapur,Andhra Pradesh,200,FY2023-24,Commissioned,996.33,988.78,7.55,263.64,22-Apr-2022,—,25-Jun-2022,Goldi Solar Pvt Ltd,LONGi Solar (555W Hi-MO6),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-028,Rann of Kutch Solar Park – 50MW,Solar,Rann of Kutch,Gujarat,50,FY2021-22,Commissioned,269.30,259.64,9.66,59.99,01-Jun-2022,—,21-Jun-2022,Tata Projects Ltd,Adani Solar (540W TOPCon),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-029,Jaisalmer Solar Phase 2 – 150MW,Solar,Jaisalmer,Rajasthan,150,FY2023-24,Commissioned,660.59,624.03,36.56,178.29,06-Sep-2021,—,31-Oct-2021,Vikram Solar Ltd,Trina Solar (550W Vertex),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-030,Kurnool Solar Phase 2 – 200MW,Solar,Kurnool,Andhra Pradesh,200,FY2023-24,Commissioned,"1,079.83","1,073.42",6.41,219.93,24-Jan-2023,—,13-Apr-2023,L&T Construction,Canadian Solar (550W HiKu7),Fully Delivered,Fully Paid,100%,0,On track
AGEL-S-031,Bikaner Solar Park – 50MW,Solar,Bikaner,Rajasthan,50,FY2025-26,Ongoing,250.24,163.73,86.51,0.00,26-Feb-2026,19-Oct-2026,—,Tata Projects Ltd,Canadian Solar (550W HiKu7),Partially Delivered – 25%,50% Paid – Milestone 2 Pending,51%,235,Land acquisition in progress
AGEL-S-032,Pavagada Solar Park – 500MW,Solar,Pavagada,Karnataka,500,FY2025-26,Ongoing,"2,615.40","1,907.22",708.18,0.00,25-Dec-2025,12-Apr-2026,—,Goldi Solar Pvt Ltd,JA Solar (545W DeepBlue),Partially Delivered – 75%,50% Paid – Milestone 2 Pending,48%,108,Transmission line work pending
AGEL-S-033,Dhule Solar Phase 2 – 100MW,Solar,Dhule,Maharashtra,100,FY2025-26,Ongoing,459.95,363.19,96.76,0.00,19-Oct-2026,28-Mar-2027,—,Waaree Energies Ltd,Vikram Solar (545W HJT),Partially Delivered – 75%,75% Paid – Balance on Completion,62%,160,Transmission line work pending
AGEL-S-034,Barmer Solar Park – 50MW,Solar,Barmer,Rajasthan,50,FY2025-26,Ongoing,258.98,126.90,132.08,0.00,20-Dec-2025,24-Jul-2026,—,Genus Power Infrastructures,Trina Solar (550W Vertex),Partially Delivered – 75%,10% Mobilisation Advance Paid,85%,216,Transmission line work pending
AGEL-S-035,Khavda Solar Phase 1 – 50MW,Solar,Khavda,Gujarat,50,FY2024-25,Ongoing,205.25,126.30,78.95,0.00,08-Jan-2026,28-May-2026,—,Tata Projects Ltd,LONGi Solar (555W Hi-MO6),PO Raised – Awaiting Dispatch,30% Paid – Advance Released,62%,140,Transmission line work pending
AGEL-S-036,Fatehgarh Solar Park – 400MW,Solar,Fatehgarh,Rajasthan,400,FY2025-26,Ongoing,"1,715.10","1,056.01",659.09,0.00,22-Jul-2026,22-Sep-2026,—,Genus Power Infrastructures,LONGi Solar (555W Hi-MO6),Partially Delivered – 50%,Payment on Hold – Dispute,68%,62,Turbine erection in progress
AGEL-S-037,Tumkur Solar Park – 50MW,Solar,Tumkur,Karnataka,50,FY2024-25,Ongoing,243.50,148.56,94.94,0.00,17-Mar-2026,03-Nov-2026,—,KEC International,First Solar (440W Series 6),In Transit,10% Mobilisation Advance Paid,79%,231,Statutory approvals awaited
AGEL-S-038,Chitradurga Solar Phase 2 – 150MW,Solar,Chitradurga,Karnataka,150,FY2025-26,Ongoing,814.20,308.73,505.47,0.00,06-Apr-2025,01-Dec-2025,—,L&T Construction,Waaree Energies (550W Mono PERC),Partially Delivered – 50%,50% Paid – Milestone 2 Pending,59%,239,Land acquisition in progress
AGEL-S-039,Pokhran Solar Phase 3 – 200MW,Solar,Pokhran,Rajasthan,200,FY2024-25,Ongoing,"1,065.84",603.93,461.91,0.00,12-Apr-2026,26-Aug-2026,—,KEC International,Vikram Solar (545W HJT),In Transit,10% Mobilisation Advance Paid,69%,136,Land acquisition in progress
AGEL-S-040,Jodhpur Solar Phase 1 – 100MW,Solar,Jodhpur,Rajasthan,100,FY2024-25,Ongoing,469.68,261.41,208.27,0.00,14-Dec-2026,25-May-2027,—,Montecarlo Ltd,First Solar (440W Series 6),In Transit,50% Paid – Milestone 2 Pending,35%,162,Financial closure in progress
AGEL-S-041,Mundra Solar Phase 3 – 500MW,Solar,Mundra,Gujarat,500,FY2025-26,Ongoing,"2,672.91","1,761.48",911.43,0.00,16-Jul-2026,07-Dec-2026,—,KEC International,LONGi Solar (555W Hi-MO6),In Transit,30% Paid – Advance Released,80%,144,Statutory approvals awaited
AGEL-S-042,Patan Solar Park – 200MW,Solar,Patan,Gujarat,200,FY2024-25,Ongoing,881.51,375.38,506.13,0.00,20-Oct-2025,18-Jan-2026,—,KEC International,Canadian Solar (550W HiKu7),Partially Delivered – 50%,50% Paid – Milestone 2 Pending,30%,90,Civil work ongoing
AGEL-S-043,Osmanabad Solar Park – 200MW,Solar,Osmanabad,Maharashtra,200,FY2025-26,Ongoing,939.78,267.13,672.65,0.00,05-Dec-2025,22-May-2026,—,Sterling and Wilson Pvt Ltd,REC Group (405W Alpha Pure-R),In Transit,Payment on Hold – Dispute,73%,168,Turbine erection in progress
AGEL-S-044,Morbi Solar Park – 500MW,Solar,Morbi,Gujarat,500,FY2025-26,Ongoing,"2,292.49","1,697.37",595.12,0.00,02-Nov-2025,12-Jun-2026,—,Genus Power Infrastructures,Trina Solar (550W Vertex),PO Raised – Awaiting Dispatch,Payment on Hold – Dispute,73%,222,Statutory approvals awaited
AGEL-S-045,Anantapur Solar Park – 200MW,Solar,Anantapur,Andhra Pradesh,200,FY2025-26,Ongoing,900.84,561.70,339.14,0.00,30-Jan-2025,08-Jun-2025,—,L&T Construction,REC Group (405W Alpha Pure-R),Partially Delivered – 50%,10% Mobilisation Advance Paid,71%,129,Land acquisition in progress
AGEL-S-046,Rann of Kutch Solar Phase 3 – 400MW,Solar,Rann of Kutch,Gujarat,400,FY2024-25,Ongoing,"1,857.17","1,349.73",507.44,0.00,27-Mar-2025,07-Oct-2025,—,Goldi Solar Pvt Ltd,JA Solar (545W DeepBlue),Partially Delivered – 75%,30% Paid – Advance Released,43%,194,Module installation underway
AGEL-S-047,Jaisalmer Solar Park – 500MW,Solar,Jaisalmer,Rajasthan,500,FY2025-26,Ongoing,"2,713.40","1,307.48",1405.92,0.00,12-Oct-2025,22-May-2026,—,SPML Infra Ltd,Waaree Energies (550W Mono PERC),In Transit,75% Paid – Balance on Completion,30%,222,Financial closure in progress
AGEL-S-048,Kurnool Solar Phase 3 – 200MW,Solar,Kurnool,Andhra Pradesh,200,FY2024-25,Ongoing,859.81,224.59,635.22,0.00,01-Feb-2025,05-May-2025,—,Montecarlo Ltd,Adani Solar (540W TOPCon),Partially Delivered – 50%,50% Paid – Milestone 2 Pending,39%,93,Module installation underway
AGEL-S-049,Bikaner Solar Phase 2 – 500MW,Solar,Bikaner,Rajasthan,500,FY2024-25,Ongoing,"2,722.80","1,756.47",966.33,0.00,13-Sep-2026,17-Mar-2027,—,Genus Power Infrastructures,Waaree Energies (550W Mono PERC),Partially Delivered – 25%,75% Paid – Balance on Completion,40%,185,Transmission line work pending
AGEL-S-050,Pavagada Solar Park – 400MW,Solar,Pavagada,Karnataka,400,FY2024-25,Ongoing,"2,014.37","1,198.52",815.85,0.00,19-Mar-2025,16-Sep-2025,—,Tata Projects Ltd,REC Group (405W Alpha Pure-R),Partially Delivered – 25%,Payment on Hold – Dispute,33%,181,Land acquisition in progress
AGEL-S-051,Dhule Solar Phase 3 – 300MW,Solar,Dhule,Maharashtra,300,FY2026-27,Planned,"1,411.97",1.79,1410.18,0.00,12-Mar-2026,25-May-2027,—,Goldi Solar Pvt Ltd,JA Solar (545W DeepBlue),Under Procurement,Payment on Hold – Dispute,13%,439,Statutory approvals awaited
AGEL-S-052,Barmer Solar Phase 3 – 150MW,Solar,Barmer,Rajasthan,150,FY2026-27,Planned,732.67,34.06,698.61,0.00,23-Sep-2027,21-Dec-2028,—,Tata Projects Ltd,LONGi Solar (555W Hi-MO6),Under Procurement,Payment on Hold – Dispute,8%,455,Statutory approvals awaited
AGEL-S-053,Khavda Solar Phase 3 – 200MW,Solar,Khavda,Gujarat,200,FY2026-27,Planned,898.41,29.20,869.21,0.00,11-Dec-2026,23-Jun-2027,—,Waaree Energies Ltd,JA Solar (545W DeepBlue),PO Raised – Awaiting Dispatch,Invoice Raised – Awaiting Approval,15%,194,Transmission line work pending
AGEL-S-054,Fatehgarh Solar Phase 3 – 250MW,Solar,Fatehgarh,Rajasthan,250,FY2025-26,Planned,"1,202.03",58.73,1143.3,0.00,29-Mar-2026,26-Jan-2027,—,Montecarlo Ltd,Jinko Solar (545W Tiger Neo),Not Yet Procured,Invoice Raised – Awaiting Approval,7%,303,Land acquisition in progress
AGEL-S-055,Tumkur Solar Park – 100MW,Solar,Tumkur,Karnataka,100,FY2026-27,Planned,422.87,24.59,398.28,0.00,10-Dec-2027,09-Oct-2028,—,Vikram Solar Ltd,Canadian Solar (550W HiKu7),Not Yet Procured,Not Started,15%,304,Financial closure in progress
AGEL-W-056,Khavda Wind Phase 2 – 50MW,Wind,Khavda,Gujarat,50,FY2021-22,Commissioned,234.18,228.71,5.47,45.12,19-Dec-2022,—,10-Jan-2023,Suzlon Energy Ltd,Vestas V150-4.5MW,Fully Delivered,Fully Paid,100%,0,On track
AGEL-W-057,Jodhpur Wind Phase 3 – 300MW,Wind,Jodhpur,Rajasthan,300,FY2022-23,Commissioned,"1,535.55","1,470.37",65.18,344.04,29-Jul-2021,—,30-Jul-2021,Suzlon Energy Ltd,Vestas V150-4.5MW,Fully Delivered,Fully Paid,100%,0,On track
AGEL-W-058,Tumkur Wind Park – 200MW,Wind,Tumkur,Karnataka,200,FY2021-22,Commissioned,863.71,838.11,25.6,160.10,29-Jan-2023,—,01-Apr-2023,Senvion India Pvt Ltd,Vestas V150-4.5MW,Fully Delivered,Fully Paid,100%,0,On track
AGEL-W-059,Patan Wind Phase 1 – 50MW,Wind,Patan,Gujarat,50,FY2023-24,Commissioned,257.69,249.82,7.87,66.37,15-Feb-2023,—,03-May-2023,Envision Energy India,Windworld W-3000,Fully Delivered,75% Paid – Balance on Completion,100%,0,On track
AGEL-W-060,Anantapur Wind Phase 2 – 150MW,Wind,Anantapur,Andhra Pradesh,150,FY2022-23,Commissioned,860.43,798.43,62,220.51,15-Feb-2021,—,04-May-2021,GE Vernova India,Siemens Gamesa SG 5.0-145,Fully Delivered,Fully Paid,100%,0,On track
AGEL-W-061,Morbi Wind Park – 100MW,Wind,Morbi,Gujarat,100,FY2023-24,Commissioned,420.43,401.95,18.48,100.64,14-May-2021,—,03-Jun-2021,Suzlon Energy Ltd,GE Vernova 3.6MW-137,Fully Delivered,75% Paid – Balance on Completion,100%,0,On track
AGEL-W-062,Rann of Kutch Wind Phase 3 – 150MW,Wind,Rann of Kutch,Gujarat,150,FY2022-23,Commissioned,686.02,645.66,40.36,177.76,28-Feb-2021,—,26-May-2021,ReGen Powertech Pvt Ltd,Siemens Gamesa SG 5.0-145,Fully Delivered,Fully Paid,100%,0,On track
AGEL-W-063,Bikaner Wind Park – 250MW,Wind,Bikaner,Rajasthan,250,FY2021-22,Commissioned,"1,078.56","1,006.59",71.97,227.32,11-Jun-2022,—,29-Jun-2022,Envision Energy India,Siemens Gamesa SG 5.0-145,Fully Delivered,75% Paid – Balance on Completion,100%,0,On track
AGEL-W-064,Dhule Wind Phase 3 – 200MW,Wind,Dhule,Maharashtra,200,FY2022-23,Commissioned,"1,012.79",967.24,45.55,242.87,09-May-2022,—,12-Jul-2022,Windworld India Ltd,Vestas V150-4.5MW,Fully Delivered,75% Paid – Balance on Completion,100%,0,On track
AGEL-W-065,Mundra Wind Park – 50MW,Wind,Mundra,Gujarat,50,FY2023-24,Commissioned,275.71,266.36,9.35,70.67,18-Nov-2020,—,12-Feb-2021,Envision Energy India,Windworld W-3000,Fully Delivered,Fully Paid,100%,0,On track
AGEL-W-066,Chitradurga Wind Park – 150MW,Wind,Chitradurga,Karnataka,150,FY2025-26,Ongoing,710.64,213.32,497.32,0.00,13-Oct-2026,08-Jun-2027,—,Windworld India Ltd,Siemens Gamesa SG 5.0-145,In Transit,30% Paid – Advance Released,64%,238,Civil work ongoing
AGEL-W-067,Jaisalmer Wind Phase 2 – 150MW,Wind,Jaisalmer,Rajasthan,150,FY2025-26,Ongoing,783.05,432.68,350.37,0.00,10-Nov-2026,22-Mar-2027,—,GE Vernova India,Enercon E-160 EP5,Partially Delivered – 75%,30% Paid – Advance Released,78%,132,Pending grid connectivity approval
AGEL-W-068,Fatehgarh Wind Phase 1 – 200MW,Wind,Fatehgarh,Rajasthan,200,FY2025-26,Ongoing,856.27,384.45,471.82,0.00,28-Feb-2026,12-Apr-2026,—,Vestas Wind Systems India,Vestas V150-4.5MW,In Transit,75% Paid – Balance on Completion,83%,43,Civil work ongoing
AGEL-W-069,Osmanabad Wind Phase 3 – 150MW,Wind,Osmanabad,Maharashtra,150,FY2025-26,Ongoing,818.96,478.99,339.97,0.00,05-May-2025,11-Jun-2025,—,Enercon India Ltd,Suzlon S144 (3MW),Partially Delivered – 50%,30% Paid – Advance Released,50%,37,Turbine erection in progress
AGEL-W-070,Pokhran Wind Park – 50MW,Wind,Pokhran,Rajasthan,50,FY2024-25,Ongoing,248.58,83.20,165.38,0.00,18-Apr-2026,17-Jun-2026,—,ReGen Powertech Pvt Ltd,Windworld W-3000,PO Raised – Awaiting Dispatch,30% Paid – Advance Released,57%,60,Statutory approvals awaited
AGEL-W-071,Barmer Wind Phase 1 – 100MW,Wind,Barmer,Rajasthan,100,FY2025-26,Ongoing,489.91,323.57,166.34,0.00,15-Jul-2025,06-Apr-2026,—,ReGen Powertech Pvt Ltd,Enercon E-160 EP5,Partially Delivered – 75%,30% Paid – Advance Released,37%,265,Transmission line work pending
AGEL-W-072,Pavagada Wind Park – 50MW,Wind,Pavagada,Karnataka,50,FY2025-26,Ongoing,274.92,142.77,132.15,0.00,25-Aug-2026,19-Feb-2027,—,Envision Energy India,Enercon E-160 EP5,In Transit,Payment on Hold – Dispute,39%,178,Financial closure in progress
AGEL-W-073,Kurnool Wind Phase 2 – 250MW,Wind,Kurnool,Andhra Pradesh,250,FY2026-27,Planned,"1,293.27",30.88,1262.39,0.00,26-Nov-2026,29-Aug-2027,—,Suzlon Energy Ltd,Enercon E-160 EP5,PO Raised – Awaiting Dispatch,Invoice Raised – Awaiting Approval,12%,276,Statutory approvals awaited
AGEL-W-074,Khavda Wind Phase 2 – 300MW,Wind,Khavda,Gujarat,300,FY2026-27,Planned,"1,551.94",76.87,1475.07,0.00,11-Nov-2027,07-Apr-2029,—,Senvion India Pvt Ltd,Enercon E-160 EP5,PO Raised – Awaiting Dispatch,Not Started,1%,513,Pending grid connectivity approval
AGEL-W-075,Jodhpur Wind Park – 200MW,Wind,Jodhpur,Rajasthan,200,FY2026-27,Planned,874.79,57.28,817.51,0.00,16-Jan-2026,26-Sep-2026,—,GE Vernova India,Enercon E-160 EP5,PO Raised – Awaiting Dispatch,Invoice Raised – Awaiting Approval,4%,253,Turbine erection in progress
